組み合わせ,共起回数
"人, 人, 慰安, 日本, 者",72
"人, 慰安, 者",42
"人, 人, 慰安, 者",66
"人, 慰安, 日本",27
"人, 人, 慰安, 日本",34
"人, 人, 慰安",32
"人, 人, 人, 慰安",30
"慰安, 日本",24
"人, 婦, 慰安, 日本, 日本, 被害",21
"人, 婦, 慰安, 日本, 日本, 者, 被害",54
"人, 婦, 慰安, 日本, 者, 被害",108
"人, 婦, 慰安, 日本, 者, 者, 被害",108
"人, 婦, 慰安, 者, 被害",54
"人, 婦, 慰安, 者, 者, 被害",54
"人, 婦, 日本, 日本, 被害",14
"人, 婦, 日本, 日本, 者, 被害",36
"人, 婦, 日本, 者, 被害",72
"人, 婦, 日本, 者, 者, 被害",72
"人, 婦, 者, 被害",36
"人, 婦, 者, 者, 被害",36
"婦, 慰安, 日本, 日本, 被害",18
"婦, 慰安, 日本, 日本, 者, 被害",39
"婦, 慰安, 日本, 者, 被害",78
"婦, 慰安, 日本, 者, 者, 被害",66
"婦, 慰安, 者, 被害",43
"婦, 慰安, 者, 者, 被害",35
"婦, 日本, 日本, 被害",12
"婦, 日本, 日本, 者, 被害",26
"婦, 日本, 者, 被害",52
"婦, 日本, 者, 者, 被害",44
"婦, 者, 被害",30
"婦, 者, 者, 被害",24
"婦, 慰安, 日本, 日本, 者, 者",12
"人, 婦, 慰安, 日本, 日本, 者, 者",18
"人, 婦, 慰安, 日本, 者, 者",66
"人, 人, 婦, 慰安, 日本, 者, 者",78
"人, 婦, 慰安, 者, 者",48
"人, 人, 婦, 慰安, 者, 者",69
"婦, 日本, 者, 者",19
"人, 婦, 日本, 者, 者",39
"人, 婦, 者, 者",27
"人, 人, 婦, 者, 者",36
"人, 婦, 日本, 日本, 者",12
"人, 婦, 慰安, 日本, 日本, 者",18
"婦, 慰安, 日本, 日本, 者",15
"婦, 慰安, 慰安, 日本, 者",18
"人, 婦, 慰安, 慰安, 日本, 者",52
"人, 婦, 慰安, 日本, 者",96
"人, 人, 婦, 慰安, 日本, 者",138
"人, 婦, 日本, 者",54
"人, 人, 婦, 日本, 者",72
"婦, 慰安, 慰安, 者",13
"人, 婦, 慰安, 慰安, 者",46
"人, 婦, 慰安, 者",78
"人, 人, 婦, 慰安, 者",129
"人, 婦, 者",42
"人, 人, 婦, 者",66
"人, 人, 人, 人, 婦, 日本",15
"人, 人, 人, 人, 婦, 慰安, 日本",30
"人, 人, 人, 婦, 慰安, 日本",60
"人, 人, 人, 婦, 慰安, 慰安, 日本",40
"人, 人, 婦, 慰安, 日本",66
"人, 人, 婦, 慰安, 慰安, 日本",42
"人, 婦, 慰安, 日本",48
"人, 婦, 慰安, 慰安, 日本",26
"人, 人, 人, 人, 婦",15
"人, 人, 人, 人, 婦, 慰安",30
"人, 人, 人, 婦, 慰安",60
"人, 人, 人, 婦, 慰安, 慰安",40
"人, 人, 婦, 慰安",63
"人, 人, 婦, 慰安, 慰安",41
"人, 婦, 慰安",39
"人, 婦, 慰安, 慰安",23
"婦, 日本",24
"婦, 慰安, 日本",35
"婦, 慰安",26
"会, 年",10
"年, 性",12
"の, よう, 暴力, 被害",20
"さん, の, よう, 暴力, 被害",40
"の, よう, 性, 性, 暴力",12
"の, よう, 性, 性, 暴力, 被害",12
"さん, の, よう, 性, 性, 暴力",24
"さん, の, よう, 性, 性, 暴力, 被害",12
"の, よう, 性, 暴力, 被害",28
"さん, の, よう, 性, 暴力, 被害",56
"さん, の, よう, 性, 暴力",40
"さん, さん, の, よう, 性, 暴力",36
"さん, の, よう, 暴力",24
"さん, さん, の, よう, 暴力",28
"よう, 性, 性, 暴力, 被害",13
"さん, よう, 性, 性, 暴力, 被害",24
"さん, よう, 性, 暴力, 被害",40
"さん, さん, よう, 性, 暴力, 被害",36
"さん, よう, 暴力, 被害",24
"さん, さん, よう, 暴力, 被害",28
"さん, さん, よう, 暴力",16
"さん, さん, よう, 性, 暴力",24
"さん, よう, 性, 暴力",33
"さん, よう, 性, 性, 暴力",24
"よう, 性, 暴力",19
"よう, 性, 性, 暴力",13
"の, よう, 者",14
"の, よう, 者, 被害",22
"よう, 者, 被害",19
"の, よう, 性, 者",12
"の, よう, 性, 者, 被害",20
"よう, 性, 者, 被害",14
"の, よう, 性, 被害",23
"さん, の, よう, 性, 被害",45
"さん, の, よう, 性",29
"さん, さん, の, よう, 性",30
"よう, 性, 被害",17
"さん, よう, 性, 被害",29
"さん, よう, 性",22
"さん, さん, よう, 性",18
"の, よう, 被害",19
"さん, の, よう, 被害",37
"さん, よう, 被害",21
"さん, さん, よう, 被害",26
"の, よう",15
"さん, の, よう",21
"さん, よう",18
"さん, さん, よう",16
"ない, 暴力",10
"ない, 性, 暴力",17
"ない, 性",15
"ため, 被害",11
"ため, 性",13
"できる, 暴力",11
"できる, 性, 暴力",19
"できる, 性",20
"できる, 性, 性",16
"性, 性, 的, 被害",12
"性, 性, 的, 者, 被害",26
"性, 的, 者, 被害",31
"性, 的, 者, 者, 被害",19
"的, 者, 被害",25
"的, 者, 者, 被害",18
"的, 者",15
"性, 的",15
"性, 的, 者",23
"くる, 暴力, 者, 被害, 被害",20
"くる, 性, 暴力, 者, 被害, 被害",38
"くる, 性, 暴力, 者, 被害",77
"くる, 性, 性, 暴力, 者, 被害",53
"くる, 性, 暴力, 者",43
"くる, 性, 性, 暴力, 者",31
"くる, 暴力, 被害, 被害",13
"くる, 性, 暴力, 被害, 被害",25
"くる, 性, 暴力, 被害",51
"くる, 性, 性, 暴力, 被害",35
"くる, 性, 暴力",30
"くる, 性, 性, 暴力",22
"くる, 性, 被害",25
"くる, 性, 性, 被害",13
"くる, 者, 者, 被害",10
"くる, 性, 者, 者, 被害",14
"くる, 性, 者, 被害",39
"くる, 性, 性, 者, 被害",19
"くる, 者",16
"くる, 性",16
"くる, 性, 者",22
"性, 月",11
"性, 日, 月",10
"日, 月",21
"さん, 日本",10
"人, 人, 人, 日本",10
"人, 人, 人, 日本, 者",20
"人, 人, 日本, 者",29
"人, 人, 日本, 者, 者",19
"人, 日本, 者",30
"人, 日本, 者, 者",23
"人, 日本, 被害",18
"人, 日本, 者, 被害",44
"日本, 者, 被害",32
"日本, 者, 者, 被害",25
"性, 日本, 被害",12
"性, 日本, 者, 被害",22
"人, 性, 日本, 被害",10
"人, 性, 日本, 者, 被害",22
"人, 性, 日本, 者",22
"人, 性, 日本, 者, 者",18
"性, 日本, 者",18
"性, 日本, 者, 者",11
"日本, 者",18
"日本, 者, 者",12
"の, 思う",12
"思う, 暴力",12
"思う, 性, 暴力",18
"思う, 性",13
"人, 性, 暴力",14
"人, 性, 暴力, 被害",24
"人, 暴力, 被害",16
"人, 暴力, 被害, 被害",11
"の, 人, 者",13
"の, 人, 者, 被害",29
"の, 人, 被害",15
"の, 人, 被害, 被害",10
"人, 人, 人, 日",20
"人, 人, 人, 日, 者",40
"人, 人, 人, 人, 日",10
"人, 人, 人, 人, 日, 者",10
"人, 人, 日, 者",43
"人, 人, 日, 者, 者",23
"人, 日, 者",24
"人, 日, 者, 者",15
"人, 人, 人",10
"人, 人, 人, 者",20
"人, 人, 者",29
"人, 人, 者, 者",17
"人, 性, 性, 被害",11
"人, 性, 性, 者, 被害",23
"人, 性, 性, 者",21
"人, 性, 性, 者, 者",18
"人, 性, 被害, 被害",11
"人, 性, 者, 被害, 被害",10
"人, 性, 者, 被害",36
"人, 性, 者, 者, 被害",22
"人, 性, 者",29
"人, 性, 者, 者",20
"人, 被害, 被害",23
"人, 者, 被害, 被害",40
"人, 者, 被害",53
"人, 者, 者, 被害",37
"人, 者",38
"人, 者, 者",22
"性, 日",16
"暴力, 暴力, 者",13
"性, 暴力, 暴力, 者",35
"暴力, 暴力, 者, 被害",19
"性, 暴力, 暴力, 者, 被害",53
"性, 暴力, 暴力, 被害",35
"性, 性, 暴力, 暴力, 被害",31
"性, 暴力, 暴力",36
"性, 性, 暴力, 暴力",27
"の, 暴力, 者, 被害, 被害",10
"の, 性, 暴力, 者, 被害, 被害",16
"の, 性, 暴力, 者, 被害",32
"の, 性, 性, 暴力, 者, 被害",16
"の, 性, 暴力, 者",20
"の, 性, 性, 暴力, 者",12
"さん, さん, の, 暴力",16
"さん, さん, の, 性, 暴力",24
"さん, の, 性, 暴力",39
"さん, の, 性, 性, 暴力",27
"さん, さん, の, 暴力, 被害, 被害",12
"さん, さん, の, 性, 暴力, 被害, 被害",12
"さん, の, 性, 暴力, 被害, 被害",20
"の, 性, 暴力, 被害, 被害",16
"さん, さん, さん, の, 暴力, 被害",16
"さん, さん, さん, の, 性, 暴力, 被害",16
"さん, さん, の, 性, 暴力, 被害",36
"さん, さん, の, 性, 性, 暴力, 被害",12
"さん, の, 性, 暴力, 被害",54
"さん, の, 性, 性, 暴力, 被害",31
"の, 性, 暴力, 被害",35
"の, 性, 性, 暴力, 被害",19
"の, 性, 暴力",29
"の, 性, 性, 暴力",17
"さん, 暴力, 者, 被害",17
"さん, 性, 暴力, 者, 被害",40
"さん, 性, 暴力, 者",28
"さん, 性, 性, 暴力, 者",23
"さん, さん, 暴力, 被害",18
"さん, さん, 性, 暴力, 被害",26
"さん, さん, 性, 暴力",20
"さん, さん, 性, 性, 暴力",12
"さん, 暴力, 被害, 被害",11
"さん, 性, 暴力, 被害, 被害",18
"さん, 性, 暴力, 被害",54
"さん, 性, 性, 暴力, 被害",33
"さん, 性, 暴力",45
"さん, 性, 性, 暴力",28
"暴力, 者, 被害, 被害",18
"性, 暴力, 者, 被害, 被害",38
"性, 暴力, 者, 被害",84
"性, 性, 暴力, 者, 被害",59
"性, 暴力, 者",58
"性, 性, 暴力, 者",39
"暴力, 被害, 被害",16
"性, 暴力, 被害, 被害",29
"性, 暴力, 被害",69
"性, 性, 暴力, 被害",42
"性, 暴力",82
"性, 性, 暴力",43
"さん, 性, 被害, 被害",12
"さん, 性, 者, 被害, 被害",10
"さん, 者, 被害, 被害",14
"さん, 者, 者, 被害, 被害",10
"さん, さん, 被害",16
"さん, さん, 性, 被害",20
"さん, 者, 者, 被害",11
"さん, 性, 者, 被害",23
"さん, 性, 性, 者, 被害",14
"さん, 性, 被害",42
"さん, 性, 性, 被害",20
"被害, 被害, 被害",10
"者, 被害, 被害, 被害",18
"性, 被害, 被害",20
"性, 者, 被害, 被害",26
"者, 被害, 被害",52
"者, 者, 被害, 被害",32
"性, 性, 被害",31
"性, 性, 者, 被害",34
"性, 者, 被害",62
"性, 者, 者, 被害",26
"者, 被害",77
"者, 者, 被害",45
"さん, の, 性, 者",11
"の, 性, 者, 被害",20
"の, 性, 者, 被害, 被害",10
"の, 性, 被害",20
"さん, の, 性, 被害",31
"さん, の, 性",26
"さん, さん, の, 性",18
"の, 被害, 被害",11
"の, 者, 被害, 被害",19
"さん, の, 被害",22
"さん, さん, の, 被害",26
"の, 者, 被害",30
"の, 者, 者, 被害",16
"さん, の",24
"さん, さん, の",15
"の, 者",25
"の, 者, 者",13
"さん, 者",17
"さん, 性, 者",16
"者, 者",25
"性, 者, 者",17
"性, 者",46
"性, 性, 者",26
"さん, さん",15
"さん, さん, 性",14
"さん, 性",39
"さん, 性, 性",17
"性, 性",34
