名詞,名詞数,動詞,動詞数,形容詞,形容詞数
ガンジャ,1,,,,
姫,3,,,,
ゼロ-zero,2,,,,
本物,2,,,,
以外,3,,,,
岩,1,,,,
マン-man,2,,,,
還暦,2,,,,
余生,2,,,,
息子,2,,,,
申し訳,1,,,,
複数,2,,,,
集団,3,,,,
ライト-light（光）,1,,,,
オール-all,1,,,,
スター-star,2,,,,
年齢,1,,,,
割,2,,,,
勘,6,,,,
安心,1,,,,
感,2,,,,
おた,2,,,,
サー-外国,1,,,,
経過,1,,,,
住民,2,,,,
監査,4,,,,
閉鎖,1,,,,
勘違い,1,,,,
罪,2,,,,
入管,1,,,,
改正,1,,,,
採決,1,,,,
怪我,3,,,,
議員,4,,,,
意味,5,,,,
傷害,1,,,,
現行,1,,,,
逮捕,4,,,,
ヤマモト,1,,,,
タロウ,2,,,,
擁護,1,,,,
左翼,1,,,,
カルト-cult,1,,,,
懲罰,1,,,,
動議,1,,,,
処分,1,,,,
線路,1,,,,
脱線,1,,,,
理屈,1,,,,
死刑,1,,,,
廃止,1,,,,
クルー-crew,1,,,,
ライブ-live,1,,,,
ブラ,1,,,,
見,1,,,,
冗談,1,,,,
リング-ring,1,,,,
フィット-fit,1,,,,
リアル-real,4,,,,
体型,2,,,,
豊満,1,,,,
体,3,,,,
スイバラ,1,,,,
頃,4,,,,
テスト-test,1,,,,
授業,2,,,,
本,3,,,,
全問,1,,,,
正解,3,,,,
掛け算,1,,,,
生徒,1,,,,
勉強,1,,,,
拒否,4,,,,
屋上,1,,,,
